Month	Hour	Station_Type	Area	Pm25	Precipitation	Wind_direction	Wind_speed	Air_temperature	Air_humedity
November	0	Traffic	South	63,8199	4,7	335,258	0,145839	18,0565	87,2497
November	1	Traffic	South	33,0309	1,2	193,87	0,0491903	17,5204	88,646
November	2	Traffic	South	30,6585	0	252,115	0,187857	17,3969	88,4001
November	3	Traffic	South	28,2807	0	234,045	0,605621	17,1971	87,4321
November	4	Traffic	South	28,2787	0	235,174	1,1263	17,1765	85,3233
November	5	Traffic	South	40,0298	0	248,28	0,575477	16,9468	85,4339
November	6	Traffic	South	43,5362	0	239,312	0,518414	16,7761	85,7275
November	7	Traffic	South	51,7838	0	233,508	0,880585	16,8379	84,6317
November	8	Traffic	South	64,1618	0	58,5872	0,283486	19,6167	74,736
November	9	Traffic	South	54,9723	0	133,328	0,514564	21,3089	67,7368
November	10	Traffic	South	62,5062	0	73,5884	0,932997	23,0321	60,9396
November	11	Traffic	South	69,9876	0	64,0512	1,23609	24,1756	54,6069
November	12	Traffic	South	77,5432	0	68,9911	0,832269	25,3901	48,3253
November	13	Traffic	South	63,1638	0	32,9636	1,12357	26,1479	44,1422
November	14	Traffic	South	27,9971	0	31,2569	1,25724	26,7828	41,5097
November	15	Traffic	South	20,6188	0	246,288	0,370528	25,7001	48,4971
November	16	Traffic	South	23,1293	0	355,543	1,10597	26,7993	41,5246
November	17	Traffic	South	27,9273	0	20,7581	1,21932	26,0353	41,7578
November	18	Traffic	South	20,5074	0	39,0777	0,599669	24,0847	50,4333
November	19	Traffic	South	5,9993	0	156,978	0,14153	22,4964	59,9096
November	20	Traffic	South	35,8786	0	112,213	0,164327	21,5315	66,8311
November	21	Traffic	South	40,4659	0	174,083	0,103614	20,1072	74,7619
November	22	Traffic	South	43,935	0	239,112	0,107735	19,4322	78,0379
November	23	Traffic	South	52,192	0	258,374	0,187602	19,124	79,5137
November	0	Traffic	South	47,4787	0	3,25981	0,0390424	19,3175	79,4799
November	1	Traffic	South	47,4772	0	55,5099	0,55992	19,3081	79,5796
November	2	Traffic	South	37,9368	0	42,2521	0,0946187	18,9621	80,1825
November	3	Traffic	South	35,5293	0	8,09778	0,169996	18,6629	80,3153
November	4	Traffic	South	38,9606	0	274,475	0,25925	17,7544	83,4111
November	6	Traffic	South	55,3394	0	261,702	0,240779	16,9686	81,174
November	7	Traffic	South	61,3455	0	289,631	0,127015	17,5321	77,9719
November	8	Traffic	South	52,155	0	45,5804	0,15589	18,9165	74,14
November	9	Traffic	South	62,2447	0	114,412	0,0494632	21,7931	61,6097
November	10	Traffic	South	72,1994	0	201,152	0,42136	23,3476	52,696
November	11	Traffic	South	63,0277	0	159,401	0,940137	25,5031	46,2667
November	12	Traffic	South	67,9678	0	146,434	2,45227	25,9068	46,9557
November	13	Traffic	South	43,7393	0	160,009	2,91895	26,2199	46,5032
November	14	Traffic	South	36,36	0	161,222	2,981	25,4851	48,2801
November	15	Traffic	South	24,1499	0,8	139,388	0,832677	24,376	58,3656
November	16	Traffic	South	14,5167	0	62,5252	2,14886	24,926	53,2507
November	17	Traffic	South	47,0139	0	49,9339	1,39725	23,8804	52,5851
November	18	Traffic	South	27,5978	0	126,279	0,526442	22,5054	62,1318
November	19	Traffic	South	44,1162	0	230,025	0,353443	20,639	70,9254
November	20	Traffic	South	63,0204	0	239,077	0,632	19,8342	74,4554
November	21	Traffic	South	72,4662	0	222,094	1,16091	19,5646	76,072
November	22	Traffic	South	64,0794	0,3	211,788	0,69764	19,2408	78,9282
November	23	Traffic	South	56,898	0,2	219,231	0,84218	18,9253	82,7229
November	0	Traffic	South	56,8684	5,6	231,518	0,96966	18,7733	82,0814
November	1	Traffic	South	47,1958	8,3	307,276	0,631253	17,5749	88,2538
November	2	Traffic	South	36,5774	0,2	251,708	0,0867002	17,5804	85,7022
November	3	Traffic	South	36,5958	0	239,05	0,15772	17,7265	85,455
November	4	Traffic	South	35,394	0	237,458	0,157934	17,5511	85,1169
November	5	Traffic	South	37,7327	0	219,512	0,68861	17,3906	85,5136
November	6	Traffic	South	48,3901	0	215,428	2,95587	17,6614	80,7392
November	7	Traffic	South	50,8369	0	213,784	1,34835	18,156	77,2656
November	8	Traffic	South	45,1034	0	203,899	1,05923	19,3086	71,5665
November	9	Traffic	South	38,2817	0	183,981	0,157908	21,6179	61,7324
November	10	Traffic	South	31,2266	0	101,766	1,12998	22,7807	56,3499
November	11	Traffic	South	42,296	0	204,232	0,722343	24,6126	48,4113
November	12	Traffic	South	31,4314	0	164,483	2,77022	24,7214	49,6283
November	13	Traffic	South	30,1811	0	169,699	3,49591	24,3136	50,8614
November	14	Traffic	South	26,7127	0	164,849	2,38657	26,0308	43,6565
November	15	Traffic	South	30,3629	0	207,414	2,16098	26,1051	42,3203
November	16	Traffic	South	26,3371	19,2	86,2584	1,81777	21,8246	63,5076
November	17	Traffic	South	25,915	2,9	234,821	0,661208	17,0968	86,5607
November	18	Traffic	South	41,3809	0,1	236,418	1,79679	18,17	82,35
November	19	Traffic	South	65,1527	0	228,346	0,749016	18,7331	80,6853
November	20	Traffic	South	68,6892	0	243,094	1,21848	18,6593	81,4646
November	21	Traffic	South	60,4095	0	233,076	1,06883	18,7096	80,7815
November	22	Traffic	South	60,4194	0	213,979	1,58692	18,7575	79,1283
November	23	Traffic	South	66,377	0	232,842	1,74846	18,9075	78,6122
November	0	Traffic	South	47,4213	0	170,669	1,22345	18,964	75,5596
November	1	Traffic	South	36,6373	1,8	198,156	0,878214	18,0564	79,7294
November	2	Traffic	South	31,8441	0,2	335,082	0,0840171	17,4557	84,0356
November	3	Traffic	South	44,7729	0,7	246,476	0,116026	17,1654	85,8801
November	4	Traffic	South	35,3084	0,5	213,861	0,159173	16,848	86,866
November	5	Traffic	South	49,4214	0,3	254,294	0,959506	16,7879	86,9601
November	6	Traffic	South	37,6517	0,1	224,354	1,13372	16,7672	85,2293
November	7	Traffic	South	60,0435	0	263,384	0,170671	16,9412	82,7996
November	8	Traffic	South	49,5936	0	212,792	0,287183	17,7976	80,3019
November	9	Traffic	South	55,9763	0	46,8496	0,126958	20,3076	68,8847
November	10	Traffic	South	41,9376	0	93,2055	0,45428	22,0895	59,3507
November	11	Traffic	South	43,4074	0	199,339	0,931797	23,9485	47,7089
November	12	Traffic	South	43,5717	0	157,908	1,22207	25,0725	47,9304
November	13	Traffic	South	35,0298	0	196,521	3,30042	24,4814	51,021
November	14	Traffic	South	38,2891	0,5	307,302	0,99542	21,675	64,0029
November	15	Traffic	South	22,7796	0,2	324,986	0,645696	22,2636	65,6685
November	16	Traffic	South	45,6744	0	104,329	0,0762891	23,011	59,6722
November	17	Traffic	South	47,6814	0,3	193,393	1,67264	20,5664	69,8856
November	18	Traffic	South	41,6897	0	215,241	0,920005	20,3444	71,5287
November	19	Traffic	South	39,1989	0	225,306	1,72259	19,5342	75,6529
November	20	Traffic	South	45,0804	0	228,803	2,3135	19,1597	74,2711
November	21	Traffic	South	49,7447	0	223,741	1,65869	18,6842	75,6539
November	22	Traffic	South	46,1296	0	234,697	1,52344	18,2931	76,6703
November	23	Traffic	South	47,2469	0	222,036	2,18262	17,8894	77,3864
November	0	Traffic	South	44,8088	0	223,9	1,41468	17,3983	79,5411
November	1	Traffic	South	44,7709	0	222,34	1,55068	17,1525	79,7989
November	2	Traffic	South	36,4774	0	236,003	1,64397	16,7853	80,7869
November	3	Traffic	South	37,6358	0	238,809	1,10974	16,6446	81,1428
November	4	Traffic	South	41,1758	0	237,522	0,488192	16,7261	81,356
November	5	Traffic	South	29,4212	0	234,043	0,233295	16,8246	81,0704
November	6	Traffic	South	32,9468	0	216,92	0,312003	16,7808	81,6243
November	7	Traffic	South	40,0336	0	234,452	0,936173	16,9743	80,7281
November	8	Traffic	South	43,9255	0	197,879	0,031146	19,3686	71,306
